GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2020/05/28-21:37:15:10,10,0.91,40.061017666666665,-105.21105116666668,1589.1,6.845712222222223,271.47,,
2020/05/28-21:37:15:20,10,0.91,40.061018,-105.21105933333335,1589.1,6.719673333333334,270.93,,
2020/05/28-21:37:15:30,10,0.91,40.06101833333333,-105.21106716666667,1589.1,6.6666855555555555,272.85,,
2020/05/28-21:37:15:40,10,0.91,40.06101866666667,-105.21107533333334,1589.1,6.648165555555556,271.89,,
2020/05/28-21:37:15:50,10,0.91,40.0610195,-105.21108316666665,1589.1,6.599293333333334,274.98,,
2020/05/28-21:37:15:60,10,0.91,40.06101983333333,-105.21109133333333,1589.1,6.832336666666667,273.22,,
2020/05/28-21:37:15:70,10,0.91,40.06102033333333,-105.21109966666667,1589.1,6.889954444444445,273.86,,
2020/05/28-21:37:15:80,10,0.91,40.061021,-105.211108,1589.1,6.935225555555556,275.22,,
2020/05/28-21:37:15:90,10,0.91,40.06102133333333,-105.21111649999999,1589.0,6.874521111111111,273.54,,
2020/05/28-21:37:16:00,10,0.91,40.0610215,-105.21112516666666,1589.0,7.103448888888889,272.55,,
2020/05/28-21:37:16:10,10,0.91,40.061021833333335,-105.21113316666667,1589.0,6.949115555555555,271.96,,
2020/05/28-21:37:16:20,10,0.91,40.0610225,-105.2111415,1588.9,6.990785555555556,273.55,,
2020/05/28-21:37:16:30,10,0.91,40.06102316666667,-105.21115,1589.0,6.999016666666668,274.19,,
2020/05/28-21:37:16:40,10,0.91,40.061023999999996,-105.21115866666666,1588.9,7.063836666666667,275.34,,
2020/05/28-21:37:16:50,10,0.91,40.06102466666667,-105.21116699999999,1588.9,7.070524444444445,275.82,,
2020/05/28-21:37:16:60,10,0.91,40.0610255,-105.21117516666666,1588.9,6.935225555555556,276.36,,
2020/05/28-21:37:16:70,10,0.91,40.061026500000004,-105.21118366666666,1588.9,7.070524444444445,276.52,,
2020/05/28-21:37:16:80,10,0.91,40.0610275,-105.21119216666666,1588.8,7.017536666666667,277.66,,
2020/05/28-21:37:16:90,10,0.91,40.0610285,-105.21120049999999,1588.8,6.9702077777777784,277.17,,
2020/05/28-21:37:17:00,10,0.91,40.06102933333333,-105.21120866666666,1588.8,6.945514444444445,276.98,,
2020/05/28-21:37:17:10,10,0.91,40.061029833333336,-105.21121716666667,1588.8,7.012906666666667,275.14,,
2020/05/28-21:37:17:20,10,0.91,40.061030833333334,-105.21122533333333,1588.8,7.0273111111111115,276.84,,
2020/05/28-21:37:17:30,10,0.91,40.06103133333333,-105.21123366666667,1588.9,7.008276666666667,275.63,,
2020/05/28-21:37:17:40,10,0.91,40.06103216666667,-105.21124166666665,1588.9,6.943971111111111,276.76,,
2020/05/28-21:37:17:50,10,0.91,40.0610325,-105.21124966666666,1588.9,6.847770000000001,275.19,,
2020/05/28-21:37:17:60,10,0.91,40.06103333333333,-105.21125816666667,1588.9,6.9820400000000005,276.19,,
2020/05/28-21:37:17:70,10,0.91,40.061034166666666,-105.21126666666666,1588.8,6.967121111111111,275.65,,
2020/05/28-21:37:17:80,11,0.91,40.06103483333333,-105.21127516666665,1588.8,6.918763333333334,274.72,,
2020/05/28-21:37:17:90,11,0.91,40.06103566666666,-105.2112835,1588.7,6.896642222222223,275.62,,
2020/05/28-21:37:18:00,11,0.84,40.06103633333333,-105.21129166666667,1588.7,6.743852222222222,275.45,,
2020/05/28-21:37:18:10,11,0.84,40.061037000000006,-105.21129983333334,1588.7,6.845712222222223,275.33,,
2020/05/28-21:37:18:20,11,0.84,40.06103766666667,-105.211308,1588.7,6.878122222222222,275.57,,
2020/05/28-21:37:18:30,11,0.84,40.061038333333336,-105.21131599999998,1588.7,6.717615555555556,276.02,,
2020/05/28-21:37:18:40,11,0.84,40.061038833333335,-105.21132383333334,1588.7,6.791695555555556,274.23,,
2020/05/28-21:37:18:50,11,0.84,40.06103933333333,-105.21133200000001,1588.8,6.923393333333334,274.57,,
2020/05/28-21:37:18:60,11,0.84,40.061040000000006,-105.21133999999999,1588.7,6.793238888888889,274.93,,
2020/05/28-21:37:18:70,11,0.84,40.0610405,-105.21134783333333,1588.8,6.623986666666667,274.38,,
2020/05/28-21:37:18:80,11,0.84,40.061041,-105.21135566666665,1588.8,6.763401111111111,274.51,,
2020/05/28-21:37:18:90,11,0.84,40.0610415,-105.21136366666666,1588.8,6.770088888888889,274.22,,
2020/05/28-21:37:19:00,11,0.84,40.061042,-105.21137150000001,1588.8,6.759800000000001,273.96,,
2020/05/28-21:37:19:10,11,0.84,40.06104216666667,-105.21137933333333,1588.8,6.6666855555555555,272.9,,
2020/05/28-21:37:19:20,10,0.84,40.0610425,-105.21138716666668,1588.8,6.696523333333333,273.6,,
2020/05/28-21:37:19:30,10,0.91,40.061043000000005,-105.21139483333333,1588.8,6.65433888888889,273.88,,
2020/05/28-21:37:19:40,10,0.91,40.0610435,-105.21140249999999,1588.8,6.590547777777778,274.0,,
2020/05/28-21:37:19:50,10,0.91,40.06104366666667,-105.21141016666667,1588.8,6.5072077777777775,272.79,,
2020/05/28-21:37:19:60,10,0.91,40.061044,-105.21141783333333,1588.8,6.4223244444444445,272.67,,
2020/05/28-21:37:19:70,10,0.91,40.0610445,-105.21142516666666,1588.8,6.329724444444445,273.03,,
2020/05/28-21:37:19:80,10,0.91,40.061045,-105.21143249999999,1588.8,6.376024444444445,273.73,,
2020/05/28-21:37:19:90,10,0.91,40.061045166666666,-105.21143983333334,1588.8,6.212945555555556,272.05,,
2020/05/28-21:37:20:00,10,0.91,40.0610455,-105.211447,1588.8,6.135778888888889,273.11,,
2020/05/28-21:37:20:10,10,0.91,40.06104566666667,-105.21145399999999,1588.8,5.918168888888889,271.53,,
2020/05/28-21:37:20:20,10,0.91,40.06104583333333,-105.21146066666667,1588.9,5.660946666666667,272.56,,
2020/05/28-21:37:20:30,10,0.91,40.061046000000005,-105.21146716666665,1588.9,5.516387777777779,272.28,,
2020/05/28-21:37:20:40,10,0.91,40.06104633333334,-105.21147333333332,1588.9,5.378516666666667,273.4,,
2020/05/28-21:37:20:50,10,0.91,40.061046499999996,-105.21147916666665,1588.9,5.034867777777778,272.66,,
